==PROF== Connected to process 1095644 (/home/pierreisnotrock/anaconda3/envs/triton3060/bin/python3.10)
conv_large done
==PROF== Disconnected from process 1095644
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1095644","python3.10","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)","1","7","(32, 4, 1)","(4, 16, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum.per_second","byte/second","75,904,000,000"
"0","1095644","python3.10","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)","1","7","(32, 4, 1)","(4, 16, 1)","0","8.6","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","29.80"
"0","1095644","python3.10","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)","1","7","(32, 4, 1)","(4, 16, 1)","0","8.6","Command line profiler metrics","gpu__time_active.sum","nsecond","4,000"
"0","1095644","python3.10","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)","1","7","(32, 4, 1)","(4, 16, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","23.12"
"0","1095644","python3.10","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)","1","7","(32, 4, 1)","(4, 16, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","62.71"
"0","1095644","python3.10","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)","1","7","(32, 4, 1)","(4, 16, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","11.81"
"1","1095644","python3.10","127.0.0.1","_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1","1","7","(256, 1, 1)","(128, 7, 4)","0","8.6","Command line profiler metrics","dram__bytes_read.sum.per_second","byte/second","69,691,472,220.56"
"1","1095644","python3.10","127.0.0.1","_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1","1","7","(256, 1, 1)","(128, 7, 4)","0","8.6","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","54.42"
"1","1095644","python3.10","127.0.0.1","_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1","1","7","(256, 1, 1)","(128, 7, 4)","0","8.6","Command line profiler metrics","gpu__time_active.sum","nsecond","1,608,672"
"1","1095644","python3.10","127.0.0.1","_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1","1","7","(256, 1, 1)","(128, 7, 4)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","50.01"
"1","1095644","python3.10","127.0.0.1","_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1","1","7","(256, 1, 1)","(128, 7, 4)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","93.29"
"1","1095644","python3.10","127.0.0.1","_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1","1","7","(256, 1, 1)","(128, 7, 4)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","53.75"
"2","1095644","python3.10","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)","1","7","(32, 4, 1)","(4, 16, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum.per_second","byte/second","76,451,612,903.23"
"2","1095644","python3.10","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)","1","7","(32, 4, 1)","(4, 16, 1)","0","8.6","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","30.92"
"2","1095644","python3.10","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)","1","7","(32, 4, 1)","(4, 16, 1)","0","8.6","Command line profiler metrics","gpu__time_active.sum","nsecond","3,968"
"2","1095644","python3.10","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)","1","7","(32, 4, 1)","(4, 16, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","23.12"
"2","1095644","python3.10","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)","1","7","(32, 4, 1)","(4, 16, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","63.40"
"2","1095644","python3.10","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)","1","7","(32, 4, 1)","(4, 16, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","11.77"
