==PROF== Connected to process 1096765 (/home/pierreisnotrock/anaconda3/envs/triton3060/bin/python3.10)
layernorm done
==PROF== Disconnected from process 1096765
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum.per_second","byte/second","269,971,059,431.52"
"0","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","92.98"
"0","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_active.sum","nsecond","123,840"
"0","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","72.15"
"0","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","35.08"
"0","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","16.78"
"1","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum.per_second","byte/second","270,016,554,578.38"
"1","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","92.82"
"1","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_active.sum","nsecond","123,712"
"1","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","72.14"
"1","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","35.10"
"1","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","16.95"
"2","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum.per_second","byte/second","267,846,035,411.86"
"2","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","92.21"
"2","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_active.sum","nsecond","124,704"
"2","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","72.15"
"2","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","35.11"
"2","1096765","python3.10","127.0.0.1","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","1","7","(32, 4, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","16.60"
