==PROF== Connected to process 1096569 (/home/pierreisnotrock/anaconda3/envs/triton3060/bin/python3.10)
softmax done
==PROF== Disconnected from process 1096569
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1096569","python3.10","127.0.0.1","void at::native::<unnamed>::cunn_SoftMaxForwardSmem<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue, long>(T4 *, const T2 *, T6)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum.per_second","byte/second","160,490,369,917.46"
"0","1096569","python3.10","127.0.0.1","void at::native::<unnamed>::cunn_SoftMaxForwardSmem<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue, long>(T4 *, const T2 *, T6)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","73.03"
"0","1096569","python3.10","127.0.0.1","void at::native::<unnamed>::cunn_SoftMaxForwardSmem<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue, long>(T4 *, const T2 *, T6)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_active.sum","nsecond","104,672"
"0","1096569","python3.10","127.0.0.1","void at::native::<unnamed>::cunn_SoftMaxForwardSmem<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue, long>(T4 *, const T2 *, T6)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","0"
"0","1096569","python3.10","127.0.0.1","void at::native::<unnamed>::cunn_SoftMaxForwardSmem<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue, long>(T4 *, const T2 *, T6)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","50.12"
"0","1096569","python3.10","127.0.0.1","void at::native::<unnamed>::cunn_SoftMaxForwardSmem<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue, long>(T4 *, const T2 *, T6)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","37.08"
"1","1096569","python3.10","127.0.0.1","void at::native::<unnamed>::cunn_SoftMaxForwardSmem<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue, long>(T4 *, const T2 *, T6)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum.per_second","byte/second","161,413,284,132.84"
"1","1096569","python3.10","127.0.0.1","void at::native::<unnamed>::cunn_SoftMaxForwardSmem<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue, long>(T4 *, const T2 *, T6)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","73.39"
"1","1096569","python3.10","127.0.0.1","void at::native::<unnamed>::cunn_SoftMaxForwardSmem<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue, long>(T4 *, const T2 *, T6)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_active.sum","nsecond","104,064"
"1","1096569","python3.10","127.0.0.1","void at::native::<unnamed>::cunn_SoftMaxForwardSmem<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue, long>(T4 *, const T2 *, T6)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","0"
"1","1096569","python3.10","127.0.0.1","void at::native::<unnamed>::cunn_SoftMaxForwardSmem<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue, long>(T4 *, const T2 *, T6)","1","7","(1024, 1, 1)","(1024, 1, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","50.05"
